vessel,trip_code,pol,pod,atd,ata,ops_start,ops_end,eto,etc,source_ata_raw,source_sheet,notes
ARTEMIS,2VH0A4,VNSGN,REREU,2024-09-10,2024-09-30,2024-10-01,2024-10-04,2024-09-13,2024-09-17,,ARTEMIS LIST VIEW,"Voyage de livraison VNSGN→REREU. Code TOWT « REREU » conservé tel quel (UN/LOCODE Réunion ; le port réel est Le Port, RELPT). OPERATIONS/COMPLETION postérieures à l’ATD dans le classeur : dates d’opérations à l’arrivée, non reprises."
ARTEMIS,2RZB4,REREU,BRSSO,2024-10-08,2024-11-10,2024-11-12,2024-11-14,2024-11-19,2024-11-23,,ARTEMIS LIST VIEW,OPERATIONS/COMPLETION postérieures à l’ATD dans le classeur (opérations à l’arrivée) — non reprises.
ARTEMIS,2ZL54,BRSSO,FRLEH,2024-11-19,2024-12-17,,,,2025-03-15,,ARTEMIS LIST VIEW,ETC 2025-03-15 incohérente — ignorée.
ARTEMIS,2LYD4,FRLEH,USNYC,2024-12-27,2025-01-29,,,2025-04-26,2025-04-29,,ARTEMIS LIST VIEW,ETO/ETC en 2025-04 incohérentes — ignorées.
ARTEMIS,2YLA5,USNYC,FRCOC,2025-02-02,2025-02-18,,,,,,ARTEMIS LIST VIEW,
ARTEMIS,2DLY5,FRLEH,USNYC,2025-04-15,2025-05-12,,,,,,ARTEMIS LIST VIEW,Rupture de continuité avec 2YLA5 (POD FRCOC → POL FRLEH) : arrêt technique Concarneau non tracé.
ARTEMIS,2EYO5,USNYC,PTOPO,2025-05-14,2025-05-30,,,,,,ARTEMIS LIST VIEW,
ARTEMIS,2FOG5,PTOPO,CUHAV,2025-06-07,2025-07-06,,,,,,ARTEMIS LIST VIEW,
ARTEMIS,2GGF5,CUHAV,FRFEC,2025-07-11,2025-08-03,,,,,,ARTEMIS LIST VIEW,
ARTEMIS,2IFG5,FRFEC,GPPTP,2025-08-11,2025-09-03,,,,,,ARTEMIS LIST VIEW,
ARTEMIS,2JGX5,GPPTP,COSTM,2025-09-05,2025-09-10,,,,,,ARTEMIS LIST VIEW,
ARTEMIS,2KXF5,COSTM,CAMAT,2025-09-16,2025-10-04,,,,,,ARTEMIS LIST VIEW,
ARTEMIS,2LQF5,CAMAT,FRLEH,2025-10-07,2025-10-22,,,,,,ARTEMIS LIST VIEW,
ARTEMIS,2LQF5-B,FRLEH,FRLEH,2025-10-25,2025-10-26,,,,,,ARTEMIS LIST VIEW,"Sous-leg FRLEH→FRLEH (mouvement dans le port / sortie courte) : POL = POD, repris tel quel."
ARTEMIS,2LQF5-C,FRLEH,FRFEC,2025-10-29,2025-10-29,,,,,,ARTEMIS LIST VIEW,Sous-leg FRLEH→FRFEC (repositionnement 1 jour) : ATD = ATA au jour.
ARTEMIS,2MFZ5,FRFEC,BRSSO,2025-11-06,2025-12-10,,,,,,ARTEMIS LIST VIEW,
ARTEMIS,2NZF5,BRSSO,FRFEC,2025-12-15,2026-01-14,,,,,2016-01-14,ARTEMIS LIST VIEW,"ATA saisie 2016-01-14 dans le classeur (faute de frappe évidente : ATD 2025-12-15, traversée BRSSO→FRFEC de ~30 j comme 2MFZ5) — corrigée en 2026-01-14"
